x,actualy,y,y(50-y),var,var/y
1,1,1.1,589,1,589
2,2,1.9,616.1196,1.0404,592.194925
3,3,3.1,609,1,609
4,4,3.9,624.0591,1.0609,588.2355547
5,5,5.1,620.8791,1.0609,585.2380997
6,6,5.9,623.9391,1.0609,588.1224432
7,7,7.1,624.9991,1.0609,589.1215949
8,8,7.9,615.8796,1.0404,591.9642445
9,9,9.1,621.1191,1.0609,585.4643227
10,10,9.9,599.8999,1.0201,588.079502
11,11,11.1,609.1596,1.0404,585.5051903
12,12,11.9,576.1399,0.9801,587.8378737
13,13,13.1,589,1,589
14,14,13.9,544.7184,0.9216,591.0572917
15,15,15.1,526.1964,0.8836,595.5142598
16,16,15.9,505.644375,0.855625,590.9649379
17,17,17.1,483.39,0.81,596.7777778
18,18,17.9,502.2336,0.8464,593.3761815
19,19,19.1,432.9004,0.7396,585.3169281
20,20,19.9,452.8656,0.7744,584.7954545
21,21,21.1,375.36,0.64,586.5
22,22,21.9,343.934775,0.585225,587.6966551
23,23,23.1,310.6471,0.5329,582.9369488
24,24,23.9,327.0924,0.5476,597.3199416
25,25,25.1,239.2704,0.4096,584.15625
26,26,25.9,250.5775,0.4225,593.0828402
27,27,27.1,161.674375,0.275625,586.5736961
28,28,27.9,164.0391,0.2809,583.9768601
29,29,29.1,79.076775,0.133225,593.5580784
30,30,29.9,64.7311,0.1089,594.4086318
