x,actualy,y,y^2,var,y^2/var
1,1,0.9,1.21,0.1,12.1
2,2,2.1,3.0625,-0.25,-12.25
3,3,2.9,16,1,16
4,4,4.1,10.24,-0.8,-12.8
5,5,5,14.44,-1.2,-12.03333333
6,6,6.3,19.36,-1.6,-12.1
7,7,6.7,25,-2,-12.5
8,8,8.3,30.25,-2.5,-12.1
9,9,8.7,36,-3,-12
10,10,10,42.25,-3.5,-12.07142857
11,11,11.7,49,-4,-12.25
12,12,11.3,54.76,-4.6,-11.90434783
13,13,13.7,62.41,-5.1,-12.2372549
14,14,13.3,68.89,-5.7,-12.08596491
15,15,15,75.69,-6.3,-12.01428571
16,16,17,82.81,-6.9,-12.00144928
17,17,16,90.25,-7.5,-12.03333333
18,18,19,98.01,-8.1,-12.1
19,19,20,106.09,-8.7,-12.19425287
20,20,20,114.49,-9.3,-12.31075269
21,21,22.5,121,-10,-12.1
22,22,20.5,129.96,-10.6,-12.26037736
23,23,24.5,136.89,-11.3,-12.11415929
24,24,22.5,144,-12,-12
25,25,25,151.29,-12.7,-11.91259843
26,26,24,161.29,-13.3,-12.12706767
27,27,29,169,-14,-12.07142857
28,28,26,179.56,-14.6,-12.29863014
29,29,31,187.69,-15.3,-12.26732026
30,30,30,196,-16,-12.25
