x,actualy,y,y(50-y),var,ratio
1,30,31,589,1,589
2,29,27.98,616.1196,1.0404,592.194925
3,28,29,609,1,609
4,27,25.97,624.0591,1.0609,588.2355547
5,26,27.03,620.8791,1.0609,585.2380997
6,25,23.97,623.9391,1.0609,588.1224432
7,24,25.03,624.9991,1.0609,589.1215949
8,23,21.98,615.8796,1.0404,591.9642445
9,22,23.03,621.1191,1.0609,585.4643227
10,21,19.99,599.8999,1.0201,588.079502
11,20,21.02,609.1596,1.0404,585.5051903
12,19,18.01,576.1399,0.9801,587.8378737
13,18,19,589,1,589
14,17,16.04,544.7184,0.9216,591.0572917
15,16,15.06,526.1964,0.8836,595.5142598
16,15,14.075,505.644375,0.855625,590.9649379
17,14,13.1,483.39,0.81,596.7777778
18,13,13.92,502.2336,0.8464,593.3761815
19,12,11.14,432.9004,0.7396,585.3169281
20,11,11.88,452.8656,0.7744,584.7954545
21,10,9.2,375.36,0.64,586.5
22,9,8.235,343.934775,0.585225,587.6966551
23,8,7.27,310.6471,0.5329,582.9369488
24,7,7.74,327.0924,0.5476,597.3199416
25,6,5.36,239.2704,0.4096,584.15625
26,5,5.65,250.5775,0.4225,593.0828402
27,4,3.475,161.674375,0.275625,586.5736961
28,3,3.53,164.0391,0.2809,583.9768601
29,2,1.635,79.076775,0.133225,593.5580784
30,1,1.33,64.7311,0.1089,594.4086318
